day	mon	sea	tr_lin	tr_exp	yd_lin	yd_exp	noi	y_lin	y_exp
2023-01-01	1	-2.202126000489008	5.001369863013698	5.001370050683304	2.79924386252469	2.798640645347958	0.10840923534931053	2.9076530978740007	2.907079585926662
2023-01-02	1	-2.1406792970343775	5.002739726027397	5.002740476774385	2.86206042899302	2.860887883361021	-0.00275331850916436	2.8593071104838557	2.8581330557707716
2023-01-03	1	-2.082423529028222	5.004109589041096	5.004111278376104	2.9216860600128736	2.9199754647829255	-0.7797546582058466	2.1419314018070272	2.1395796488840895
2023-01-04	1	-2.027294088211762	5.005479452054795	5.005482455591359	2.978185363843033	2.975965457417748	1.373849790324656	4.352035154167689	4.3513216618353345
2023-01-05	1	-1.9752263663262166	5.006849315068493	5.006854008523069	3.0316229487422763	3.0289199985268946	-1.4203448059074082	1.6112781428348681	1.606628181538409
2023-01-06	1	-1.9261557551128072	5.008219178082192	5.008225937274187	3.0820634229693846	3.0789012948770047	1.315002820433718	4.397066243403103	4.396067541453976
2023-01-07	1	-1.8800176463127536	5.00958904109589	5.009598241947688	3.1295713947831367	3.1259716227878878	-0.920458277551019	2.2091131172321177	2.2037463889867315
2023-01-08	1	-1.836747431667276	5.010958904109589	5.01097092264658	3.1742114724423134	3.170193328180479	0.008589475921145302	3.1828009483634587	3.1788016509968053
2023-01-09	1	-1.7962805029175946	5.012328767123288	5.012343979473899	3.216048264205693	3.2116288266248283	-0.1545028989682453	3.061545365237448	3.056744491533879
2023-01-10	1	-1.7585522518049297	5.013698630136986	5.013717412532706	3.2551463783320562	3.2503406033881115	0.9036857869753808	4.158832165307437	4.156505636511469
2023-01-11	1	-1.7234980700705016	5.015068493150685	5.0150912219260935	3.2915704230801834	3.2863912134826663	-1.3352415968482212	1.9563288262319622	1.9471195311818474
2023-01-12	1	-1.8153474301572794	5.016438356164383	5.016465407757181	3.2010909260071037	3.1951398904682033	-0.0023169162047977578	3.198774009802306	3.1928153444693956
2023-01-13	1	-1.785447562402985	5.017808219178082	5.017839970129115	3.2323606567750973	3.226021941490056	0.7512833283242579	3.9836439850993552	3.9799858442414755
2023-01-14	1	-1.7580279392505884	5.019178082191781	5.019214909145074	3.261150142941192	3.2544309004690444	2.5865308364299757	5.847680979371168	5.850901727903607
2023-01-15	1	-1.7330239524413091	5.02054794520548	5.0205902249082595	3.2875239927641706	3.2804296018765164	-0.8841865112108716	2.403337481553299	2.392601970840309
2023-01-16	1	-1.7103709937163676	5.021917808219178	5.0219659175219045	3.3115468145028104	3.3040809501695705	-0.09730082685680189	3.2142459876460086	3.206352662925259
2023-01-17	1	-1.6900044548169841	5.023287671232877	5.023341987089271	3.333283216415893	3.3254479198392577	-0.5354406002339733	2.79784261618192	2.7875076700897377
2023-01-18	1	-1.6718597274843787	5.024657534246575	5.024718433713648	3.3527978067621964	3.3445935554588013	0.2742811491854765	3.627078955947673	3.620230664725287
2023-01-19	1	-1.531578122758023	5.026027397260274	5.026095257498353	3.4944492745022506	3.4865237496418873	0.5999065921936814	4.094355866695932	4.089561285235219
2023-01-20	1	-1.5176831937826347	5.027397260273973	5.027472458546731	3.509714066491338	3.501450367038444	-2.2548944063422565	1.2548196601490815	1.2341664620750885
2023-01-21	1	-1.5058162515976854	5.028767123287671	5.028850036962157	3.5229508716899858	3.51434521446111	-1.4466742455238701	2.0762766261661154	2.0593236478461265
2023-01-22	1	-1.4959126879443951	5.03013698630137	5.030227992848032	3.5342242983569747	3.525271617297144	0.8815943888735376	4.415818687230512	4.412195771947029
2023-01-23	1	-1.487907894563984	5.031506849315068	5.031606326307788	3.543598954751084	3.5342929712574995	-0.49644231341355294	3.0471566413375313	3.034712514293798
2023-01-24	1	-1.4817372631976726	5.032876712328767	5.032985037444884	3.551139449131095	3.5414727424252	0.6122397256237568	4.163379174754851	4.157751418103946
2023-01-25	1	-1.477336185586681	5.034246575342466	5.0343641263628065	3.5569103897557848	3.5468744673037564	-0.8137290422628896	2.743181347492895	2.7275528075141855
2023-01-26	1	-1.474640053472229	5.035616438356165	5.035743593165072	3.5609763848839355	3.550561752865596	-0.21582603300117562	3.34515035188276	3.333192840280816
2023-01-27	1	-1.4735832924015895	5.036986301369863	5.037123437955225	3.5634030089682733	3.5525992499681704	-1.60250411243308	1.9608988965351932	1.9381970451369095
2023-01-28	1	-1.4740902713518371	5.038356164383561	5.038503660836837	3.564265893031724	3.5530618151147975	0.3095163766387367	3.8737822696704605	3.8649616944714427
