year	day	day_noy	dd_t	d_t
2023	2023-01-01	0-01-01	2.7989482008202486	2.67936892049215
2023	2023-01-02	0-01-02	2.8617182459102235	1.717030947546134
2023	2023-01-03	0-01-03	2.9213033223714717	3.752781993422883
2023	2023-01-04	0-01-04	2.9777678476904805	3.786660708614289
2023	2023-01-05	0-01-05	3.031176239353733	4.81870574361224
2023	2023-01-06	0-01-06	3.0815929148477177	1.8489557489086303
2023	2023-01-07	0-01-07	3.129082291658918	2.8774493749953507
2023	2023-01-08	0-01-08	3.17370878727382	2.904225272364292
2023	2023-01-09	0-01-09	3.2155368191789084	2.929322091507345
2023	2023-01-10	0-01-10	3.2546308048606702	1.952778482916402
2023	2023-01-11	0-01-11	3.2910551618055903	2.974633097083354
2023	2023-01-12	0-01-12	3.200640292679707	2.920384175607824
2023	2023-01-13	0-01-13	3.231918644610401	2.9391511867662405
2023	2023-01-14	0-01-14	3.260720620263708	1.9564323721582249
2023	2023-01-15	0-01-15	3.2871106371261165	1.97226638227567
2023	2023-01-16	0-01-16	3.31115311268411	2.9866918676104657
2023	2023-01-17	0-01-17	3.332912464424176	1.9997474786545055
2023	2023-01-18	0-01-18	3.3524531098327977	4.011471865899678
2023	2023-01-19	0-01-19	3.4940734812169083	3.096444088730145
2023	2023-01-20	0-01-20	3.509369966422101	3.1056219798532605
2023	2023-01-21	0-01-21	3.522640997755306	3.1135845986531834
2023	2023-01-22	0-01-22	3.5339509927030113	6.120370595621806
2023	2023-01-23	0-01-23	3.5433643687517	2.1260186212510197
2023	2023-01-24	0-01-24	3.550945543387859	3.1305673260327156
2023	2023-01-25	0-01-25	3.556758934097973	2.1340553604587837
2023	2023-01-26	0-01-26	3.5608689583685287	2.1365213750211174
2023	2023-01-27	0-01-27	3.5633408759462197	4.138004525567732
2023	2023-01-28	0-01-28	3.5642496355854156	2.1385497813512493
2023	2023-01-29	0-01-29	3.5636851639536093	4.138211098372166
2023	2023-01-30	0-01-30	3.5617524367445217	3.137051462046713
2023	2023-01-31	0-01-31	3.558571478678102	2.135142887206861
2023	2023-02-01	0-02-01	3.5542773635005247	3.132566418100315
2023	2023-02-02	0-02-02	3.549020213984195	2.1294121283905167
2023	2023-02-03	0-02-03	3.542964359667532	3.1257786158005194
2023	2023-02-04	0-02-04	3.536279490107514	2.1217676940645083
